timestamp,cycle_id,commodity,contract,phase,agent,prompt_source,model_provider,model_name,assigned_provider,assigned_model,persona_hash,dspy_version,demo_count,tms_context_count,grounded_freshness_hours,reflexion_applied,prompt_tokens,completion_tokens,latency_ms
2026-03-16 14:08:29+00:00,NG-8a7ae57a,NG,NGN26 (202606),research,geopolitical,legacy,gemini,gemini-3.1-pro-preview,gemini,gemini-3.1-pro-preview,,,0,0,0.0,True,496,343,19674.49951171875
2026-03-16 14:08:29+00:00,NG-8a7ae57a,NG,NGN26 (202606),research,agronomist,legacy,gemini,gemini-3.1-pro-preview,gemini,gemini-3.1-pro-preview,,,0,0,0.0,True,573,600,40886.72494888306
2026-03-16 14:08:30+00:00,NG-8a7ae57a,NG,NGN26 (202606),research,technical,commodity_profile,openai,o3-2025-04-16,openai,o3-2025-04-16,87284643c9fb,,0,0,14,False,1366,675,10720.21198272705
2026-03-16 14:08:31+00:00,NG-8a7ae57a,NG,NGN26 (202606),research,sentiment,commodity_profile,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,5516ee156388,,0,0,14,False,1413,260,16130.930185317993
2026-03-16 14:08:35+00:00,NG-8a7ae57a,NG,NGN26 (202606),research,volatility,commodity_profile,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,6e7337ee5515,,0,0,14,False,1496,312,8918.400526046753
2026-03-16 14:08:36+00:00,NG-8a7ae57a,NG,NGN26 (202606),research,inventory,legacy,anthropic,claude-sonnet-4-6,anthropic,claude-sonnet-4-6,,,0,0,0.0,True,965,954,18442.551612854004
2026-03-16 14:08:41+00:00,NG-8a7ae57a,NG,NGN26 (202606),research,sentiment,legacy,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,,,0,0,0.0,True,565,266,9253.491163253784
2026-03-16 14:08:50+00:00,NG-8a7ae57a,NG,NGN26 (202606),research,volatility,legacy,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,,,0,0,0.0,True,613,350,14489.461421966553
2026-03-16 14:08:55+00:00,NG-8a7ae57a,NG,NGN26 (202606),research,technical,legacy,openai,o3-2025-04-16,openai,o3-2025-04-16,,,0,0,0.0,True,592,1417,24412.64319419861
2026-03-16 14:09:40+00:00,NG-8a7ae57a,NG,NGN26 (202606),debate,permabear,legacy,anthropic,claude-sonnet-4-6,anthropic,claude-sonnet-4-6,2fd2d9277014,,0,0,0.0,False,5924,1912,44517.26984977722
2026-03-16 14:10:01+00:00,NG-8a7ae57a,NG,NGN26 (202606),debate,permabull,legacy,xai,grok-4-1-fast-reasoning,xai,grok-4-1-fast-reasoning,907c5282bd94,,0,0,0.0,False,6853,1227,20985.52918434143
2026-03-16 14:10:15+00:00,NG-8a7ae57a,NG,NGN26 (202606),decision,master,legacy,openai,gpt-5.2,openai,gpt-5.2,067e4f454c9a,,0,0,0.0,False,8847,755,14605.08942604065
