timestamp,cycle_id,contract,stage,outcome,detail,price_snapshot,bid,ask,initial_limit,fill_price,walk_away_price,regime,source
2026-03-16 14:09:10+00:00,NG-ef9a605b,NGM26 (202605),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.80, conviction_mult=1.0, vote=BEARISH, thesis=PLAUSIBLE, weighted_score=-0.1615",3.23,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:09:20+00:00,NG-ef9a605b,NGM26 (202605),COMPLIANCE_AUDIT,PASS,Approved,3.23,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:09:20+00:00,NG-ef9a605b,NGM26 (202605),CONVICTION_GATE,BLOCK,"weighted_score=0.1615, threshold=0.2, direction=BEARISH",3.23,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:09:20+00:00,NG-ef9a605b,NGM26 (202605),STRATEGY_SELECTION,PASS,"prediction_type=VOLATILITY, strategy=LONG_STRADDLE, vol_level=HIGH",3.23,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:10:15+00:00,NG-8a7ae57a,NGN26 (202606),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.80, conviction_mult=1.0, vote=NEUTRAL, thesis=PLAUSIBLE, weighted_score=-0.0172",3.49,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:10:22+00:00,NG-8a7ae57a,NGN26 (202606),COMPLIANCE_AUDIT,PASS,Approved,3.49,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:10:22+00:00,NG-8a7ae57a,NGN26 (202606),CONVICTION_GATE,BLOCK,"weighted_score=0.0172, threshold=0.2, direction=BEARISH",3.49,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:10:22+00:00,NG-8a7ae57a,NGN26 (202606),STRATEGY_SELECTION,INFO,"prediction_type=DIRECTIONAL, strategy=NONE, vol_level=None",3.49,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:11:32+00:00,NG-1f6549c0,NGQ26 (202607),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.80, conviction_mult=1.0, vote=NEUTRAL, thesis=PLAUSIBLE, weighted_score=-0.0379",3.57,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:11:41+00:00,NG-1f6549c0,NGQ26 (202607),COMPLIANCE_AUDIT,PASS,Approved,3.57,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:11:41+00:00,NG-1f6549c0,NGQ26 (202607),CONVICTION_GATE,BLOCK,"weighted_score=0.0379, threshold=0.2, direction=BEARISH",3.57,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:11:41+00:00,NG-1f6549c0,NGQ26 (202607),STRATEGY_SELECTION,PASS,"prediction_type=VOLATILITY, strategy=LONG_STRADDLE, vol_level=HIGH",3.57,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:11:59+00:00,NG-a9afc23a,NGU26 (202608),COUNCIL_DECISION,PASS,"direction=BEARISH, confidence=0.80, conviction_mult=1.0, vote=NEUTRAL, thesis=PLAUSIBLE, weighted_score=-0.0695",3.55,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:12:08+00:00,NG-a9afc23a,NGU26 (202608),COMPLIANCE_AUDIT,PASS,Approved,3.55,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:12:08+00:00,NG-a9afc23a,NGU26 (202608),CONVICTION_GATE,BLOCK,"weighted_score=0.0695, threshold=0.2, direction=BEARISH",3.55,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:12:08+00:00,NG-a9afc23a,NGU26 (202608),STRATEGY_SELECTION,PASS,"prediction_type=VOLATILITY, strategy=LONG_STRADDLE, vol_level=HIGH",3.55,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:12:16+00:00,NG-ef9a605b,202605,ORDER_QUEUED,PASS,"strategy=unknown, qty=1, risk=$6,220.00",3.23,,,,,,HIGH_VOLATILITY,REALTIME
2026-03-16 14:12:22+00:00,NG-1f6549c0,202607,ORDER_QUEUED,PASS,"strategy=unknown, qty=2, risk=$17,160.00",3.57,,,,,,HIGH_VOLATILITY,REALTIME
