date,total_usd,request_count,cost_by_source,x_api_calls,x_api_cost_usd
2026-03-14,0.0111,32,"{""topic_discovery"": 0.009460000000000001, ""sentinel/LogisticsSentinel"": 0.000564, ""sentinel/NewsSentinel"": 0.0010805}",0,0.0
2026-03-15,0.0096,27,"{""topic_discovery"": 0.008778, ""sentinel/NewsSentinel"": 0.0007975}",0,0.0
2026-03-16,2.1739,269,"{""sentinel/NewsSentinel"": 0.00044300000000000003, ""sentinel/XSentimentSentinel(grok)"": 0.0070801000000000015, ""topic_discovery"": 0.004412999999999999, ""council/grounded_data"": 0.15944400000000003, ""router/macro"": 0.26736325, ""router/agronomist"": 0.13299599999999998, ""router/geopolitical"": 0.09541200000000001, ""router/supply_chain"": 0.007266299999999999, ""router/inventory"": 0.32460600000000006, ""router/sentiment"": 0.0072484, ""router/technical"": 0.20881999999999995, ""router/volatility"": 0.007262400000000001, ""router/permabear"": 0.49287899999999996, ""router/permabull"": 0.0183604, ""router/master"": 0.2567145, ""router/compliance"": 0.183624}",13,0.0455
2026-03-17,2.2388,269,"{""sentinel/NewsSentinel"": 0.0014685000000000002, ""topic_discovery"": 0.0043950000000000005, ""sentinel/XSentimentSentinel(grok)"": 0.0068825, ""sentinel/MacroContagionSentinel"": 0.000159, ""council/grounded_data"": 0.16039749999999997, ""router/agronomist"": 0.10884, ""router/macro"": 0.26001325000000003, ""router/geopolitical"": 0.09942600000000001, ""router/inventory"": 0.44949, ""router/supply_chain"": 0.0085695, ""router/sentiment"": 0.007580700000000001, ""router/technical"": 0.22167800000000001, ""router/volatility"": 0.008570300000000001, ""router/permabear"": 0.43651500000000004, ""router/permabull"": 0.0173088, ""router/master"": 0.24907050000000003, ""router/compliance"": 0.19528800000000002, ""router/trade_analyst"": 0.0031418999999999996}",12,0.042
2026-03-18,2.1619,262,"{""sentinel/NewsSentinel"": 0.0012745, ""topic_discovery"": 0.004749000000000001, ""sentinel/XSentimentSentinel(grok)"": 0.0069942, ""council/grounded_data"": 0.16165350000000006, ""router/macro"": 0.24079475000000003, ""router/agronomist"": 0.09653399999999998, ""router/geopolitical"": 0.10864399999999999, ""router/supply_chain"": 0.0066085, ""router/sentiment"": 0.0068785999999999995, ""router/inventory"": 0.45527100000000004, ""router/technical"": 0.18019199999999996, ""router/volatility"": 0.007533399999999999, ""router/permabear"": 0.377832, ""router/permabull"": 0.017194300000000003, ""router/master"": 0.24271975, ""router/compliance"": 0.24416699999999997, ""router/trade_analyst"": 0.0029015}",10,0.035
2026-03-19,2.1604,292,"{""topic_discovery"": 0.004445999999999999, ""sentinel/NewsSentinel"": 0.0030265, ""sentinel/XSentimentSentinel(grok)"": 0.010749, ""council/grounded_data"": 0.289025, ""router/technical"": 0.17241000000000006, ""router/permabull"": 0.08853040000000001, ""router/permabear"": 0.3096318, ""router/master"": 0.23394524999999997, ""router/supply_chain"": 0.008282800000000002, ""router/sentiment"": 0.0062886, ""router/agronomist"": 0.105072, ""router/geopolitical"": 0.10970800000000001, ""router/macro"": 0.2652615, ""router/inventory"": 0.399411, ""router/volatility"": 0.006968199999999999, ""router/compliance"": 0.14465100000000003, ""router/trade_analyst"": 0.0030237}",18,0.063
