timestamp,total_value_usd
2026-02-04 17:00:00,32481.26
2026-02-05 17:00:00,32482.45
2026-02-06 17:00:00,32482.45
2026-02-09 17:00:00,32484.81
2026-02-10 17:00:00,32484.81
2026-02-11 17:00:00,32485.99
2026-02-12 17:00:00,32485.99
2026-02-13 17:00:00,32487.17
2026-02-16 17:00:00,32487.17
2026-02-17 17:00:00,32489.53
2026-02-18 17:00:00,32489.53
2026-02-19 17:00:00,32490.71
2026-02-20 17:00:00,32490.71
2026-02-23 17:00:00,32493.07
2026-02-24 17:00:00,32478.07
2026-02-25 17:00:00,32479.25
2026-02-26 17:00:00,32479.25
2026-02-27 17:00:00,32480.43
2026-03-02 17:00:00,32481.61
2026-03-03 17:00:00,32325.79
2026-03-04 17:00:00,32325.79
2026-03-05 17:00:00,32326.95
2026-03-06 17:00:00,32326.95
2026-03-09 17:00:00,32329.27
2026-03-10 17:00:00,32329.27
2026-03-11 17:00:00,32330.43
2026-03-12 17:00:00,32330.43
2026-03-13 17:00:00,32331.59
2026-03-15 17:00:00,32331.59
2026-03-16 17:00:00,32333.33
2026-03-17 17:00:00,32333.33
2026-03-18 17:00:00,32334.49
2026-03-19 17:00:00,32334.49
2026-03-20 17:00:00,32334.49
