date,total_usd,request_count,cost_by_source,x_api_calls,x_api_cost_usd
2026-03-13,3.0734,0,{},0,0.0
2026-03-14,0.0065,19,"{""sentinel/MacroContagionSentinel"": 0.0001625, ""sentinel/NewsSentinel"": 0.0006265, ""topic_discovery"": 0.005745999999999999}",0,0.0
2026-03-14,0.031,6,"{""sentinel/MacroContagionSentinel"": 0.0001625, ""sentinel/NewsSentinel"": 0.000219, ""council/grounded_data"": 0.0063095, ""router/macro"": 0.015001, ""router/geopolitical"": 0.009284}",0,0.0
2026-03-15,0.0062,17,"{""sentinel/MacroContagionSentinel"": 0.000214, ""topic_discovery"": 0.005748, ""sentinel/NewsSentinel"": 0.000216}",0,0.0
2026-03-16,1.95,294,"{""router/trade_analyst"": 0.004624200000000001, ""topic_discovery"": 0.011545999999999999, ""sentinel/NewsSentinel"": 0.00024, ""council/grounded_data"": 0.15583000000000005, ""router/agronomist"": 0.12139399999999999, ""router/permabear"": 0.394503, ""router/permabull"": 0.015603600000000002, ""router/master"": 0.22476125000000002, ""sentinel/MacroContagionSentinel"": 0.0001515, ""router/macro"": 0.1990275, ""router/geopolitical"": 0.09328399999999998, ""router/supply_chain"": 0.0055732, ""router/sentiment"": 0.004144, ""router/technical"": 0.199798, ""router/inventory"": 0.295935, ""router/volatility"": 0.0075349000000000015, ""router/compliance"": 0.206481, ""sentinel/XSentimentSentinel(grok)"": 0.009534300000000002}",20,0.07
2026-03-16,0.0405,34,"{""router/trade_analyst"": 0.004624200000000001, ""topic_discovery"": 0.005788, ""council/grounded_data"": 0.0074415, ""router/macro"": 0.0141085, ""router/geopolitical"": 0.008492}",0,0.0
2026-03-17,2.1504,299,"{""sentinel/NewsSentinel"": 0.0012499999999999998, ""topic_discovery"": 0.005764, ""council/grounded_data"": 0.1650885, ""router/agronomist"": 0.132018, ""router/permabear"": 0.5247329999999999, ""router/permabull"": 0.0202295, ""router/master"": 0.30466275, ""router/macro"": 0.18067175000000002, ""router/geopolitical"": 0.100446, ""router/sentiment"": 0.005074499999999999, ""router/supply_chain"": 0.0061627999999999995, ""router/inventory"": 0.39177, ""router/technical"": 0.211492, ""router/volatility"": 0.0090033, ""router/compliance"": 0.07941899999999999, ""sentinel/XSentimentSentinel(grok)"": 0.0097473, ""router/trade_analyst"": 0.0028923}",20,0.07
2026-03-17,0.0297,4,"{""council/grounded_data"": 0.006517500000000001, ""router/macro"": 0.01397725, ""router/geopolitical"": 0.009156000000000001}",0,0.0
2026-03-18,3.3066,431,"{""sentinel/NewsSentinel"": 0.0016224999999999998, ""topic_discovery"": 0.005720000000000001, ""council/grounded_data"": 0.28514700000000004, ""router/macro"": 0.38754974999999986, ""router/agronomist"": 0.138096, ""router/geopolitical"": 0.18257, ""router/supply_chain"": 0.0089652, ""router/sentiment"": 0.0095623, ""router/inventory"": 0.616662, ""router/technical"": 0.376214, ""router/volatility"": 0.0172199, ""router/permabear"": 0.700134, ""router/permabull"": 0.029656400000000003, ""router/master"": 0.4116175, ""router/compliance"": 0.121812, ""sentinel/XSentimentSentinel(grok)"": 0.0096973, ""sentinel/MacroContagionSentinel"": 0.000567, ""router/trade_analyst"": 0.0037703}",19,0.0665
